s2025-03-25 12:03:05,199 - INFO - Loading markdown documents from ./data...
2025-03-25 12:03:08,197 - WARNING - libmagic is unavailable but assists in filetype detection. Please consider installing libmagic for better results.
2025-03-25 12:03:08,226 - WARNING - libmagic is unavailable but assists in filetype detection. Please consider installing libmagic for better results.
2025-03-25 12:03:08,227 - WARNING - libmagic is unavailable but assists in filetype detection. Please consider installing libmagic for better results.
2025-03-25 12:03:08,241 - WARNING - libmagic is unavailable but assists in filetype detection. Please consider installing libmagic for better results.
2025-03-25 12:03:08,267 - WARNING - libmagic is unavailable but assists in filetype detection. Please consider installing libmagic for better results.
2025-03-25 12:03:08,271 - WARNING - libmagic is unavailable but assists in filetype detection. Please consider installing libmagic for better results.
2025-03-25 12:03:08,289 - WARNING - libmagic is unavailable but assists in filetype detection. Please consider installing libmagic for better results.
2025-03-25 12:03:08,302 - WARNING - libmagic is unavailable but assists in filetype detection. Please consider installing libmagic for better results.
2025-03-25 12:03:08,311 - WARNING - libmagic is unavailable but assists in filetype detection. Please consider installing libmagic for better results.
2025-03-25 12:03:08,321 - WARNING - libmagic is unavailable but assists in filetype detection. Please consider installing libmagic for better results.
2025-03-25 12:03:08,327 - WARNING - libmagic is unavailable but assists in filetype detection. Please consider installing libmagic for better results.
2025-03-25 12:03:08,339 - WARNING - libmagic is unavailable but assists in filetype detection. Please consider installing libmagic for better results.
2025-03-25 12:03:08,347 - WARNING - libmagic is unavailable but assists in filetype detection. Please consider installing libmagic for better results.
2025-03-25 12:03:08,355 - WARNING - libmagic is unavailable but assists in filetype detection. Please consider installing libmagic for better results.
2025-03-25 12:03:08,365 - WARNING - libmagic is unavailable but assists in filetype detection. Please consider installing libmagic for better results.
2025-03-25 12:03:08,370 - WARNING - libmagic is unavailable but assists in filetype detection. Please consider installing libmagic for better results.
2025-03-25 12:03:08,378 - WARNING - libmagic is unavailable but assists in filetype detection. Please consider installing libmagic for better results.
2025-03-25 12:03:08,403 - WARNING - libmagic is unavailable but assists in filetype detection. Please consider installing libmagic for better results.
2025-03-25 12:03:08,410 - WARNING - libmagic is unavailable but assists in filetype detection. Please consider installing libmagic for better results.
2025-03-25 12:03:08,425 - WARNING - libmagic is unavailable but assists in filetype detection. Please consider installing libmagic for better results.
2025-03-25 12:03:08,440 - WARNING - libmagic is unavailable but assists in filetype detection. Please consider installing libmagic for better results.
2025-03-25 12:03:08,451 - WARNING - libmagic is unavailable but assists in filetype detection. Please consider installing libmagic for better results.
2025-03-25 12:03:08,480 - WARNING - libmagic is unavailable but assists in filetype detection. Please consider installing libmagic for better results.
2025-03-25 12:03:08,490 - WARNING - libmagic is unavailable but assists in filetype detection. Please consider installing libmagic for better results.
2025-03-25 12:03:08,517 - WARNING - libmagic is unavailable but assists in filetype detection. Please consider installing libmagic for better results.
2025-03-25 12:03:08,538 - WARNING - libmagic is unavailable but assists in filetype detection. Please consider installing libmagic for better results.
2025-03-25 12:03:08,550 - WARNING - libmagic is unavailable but assists in filetype detection. Please consider installing libmagic for better results.
2025-03-25 12:03:08,577 - WARNING - libmagic is unavailable but assists in filetype detection. Please consider installing libmagic for better results.
2025-03-25 12:03:08,589 - WARNING - libmagic is unavailable but assists in filetype detection. Please consider installing libmagic for better results.
2025-03-25 12:03:08,623 - WARNING - libmagic is unavailable but assists in filetype detection. Please consider installing libmagic for better results.
2025-03-25 12:03:08,626 - WARNING - libmagic is unavailable but assists in filetype detection. Please consider installing libmagic for better results.
2025-03-25 12:03:08,628 - WARNING - libmagic is unavailable but assists in filetype detection. Please consider installing libmagic for better results.
2025-03-25 12:03:08,631 - WARNING - libmagic is unavailable but assists in filetype detection. Please consider installing libmagic for better results.
2025-03-25 12:03:08,633 - WARNING - libmagic is unavailable but assists in filetype detection. Please consider installing libmagic for better results.
2025-03-25 12:03:08,636 - WARNING - libmagic is unavailable but assists in filetype detection. Please consider installing libmagic for better results.
2025-03-25 12:03:08,639 - WARNING - libmagic is unavailable but assists in filetype detection. Please consider installing libmagic for better results.
2025-03-25 12:03:08,643 - INFO - Loaded 54 documents
2025-03-25 12:03:08,646 - INFO - Split into 247 chunks
2025-03-25 12:03:08,646 - INFO - Creating embeddings using model: text-embedding-ada-002
2025-03-25 12:03:08,952 - INFO - Building Chroma vector store at ./embeddings_store
2025-03-25 12:03:09,227 - INFO - Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.
2025-03-25 12:03:11,274 - INFO - HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2025-03-25 12:03:13,335 - INFO - Vector store persisted successfully!
